ID,SO
1895,45260
1896,45261
1897,45262
1898,45263
1899,45271
1900,45273
1901,45276
1902,45277
1903,45278
1904,45279
1905,45280
1906,45284
1907,45285
1908,45286
1909,45287
1910,45303
1911,45293
1912,45301
1913,45302
1914,45305
1915,45309
1916,45310
1917,45315
1918,45316
1919,45318
1920,45319
1921,45327
1922,45328
1923,45329
1924,45312
1925,45313
1926,45330
1927,45336
1928,45337
1929,45346
1930,45348
1931,45350
1932,45351
1933,45358
1934,45359
1935,45360
1936,45361
1937,45362
1938,45366
1939,45369
1940,45372
1941,45378
1942,45403
1943,45393
1944,45394
1945,45399
1946,45400
1947,45404
1948,45405
1949,45406
1950,45418
1951,45419
1952,45421
1953,45423
1954,45425
1955,45429
1956,45431
1957,45432
1958,45433
1959,45434
1960,45436
1961,45441
1962,45442
1963,45443
1964,45445
1965,45446
1966,45447
1967,45448
1968,45449
1969,45450
1970,45451
1971,45453
1972,45460
1973,45473
1974,45462
1975,45465
1976,45468
1977,45470
1978,45480
1979,45484
1980,45464
1981,45489
1982,45492
1983,45506
1984,45508
1985,45513
1986,45514
1987,45515
1988,45516
1989,45517
1990,45518
1991,45519
1992,45520
1993,45522
1994,45534
1995,45535
1996,45536
1997,45537
1998,45538
1999,45505
2000,45563
